PassengerId,Survived,Log,Tree,Forrest,SVC,Grid
854,1,1,1,1,1,1
541,1,1,1,1,1,1
260,1,1,1,1,1,1
691,1,0,1,1,0,0
470,1,1,1,1,1,1
871,0,0,0,0,0,0
58,0,0,0,0,0,0
708,1,0,0,0,0,0
449,1,1,1,1,1,1
294,0,1,0,1,1,0
418,1,1,0,1,1,1
176,0,0,0,0,0,0
284,1,0,0,0,0,0
766,1,1,1,1,1,1
427,1,1,1,1,1,1
41,0,0,1,1,1,0
105,0,0,0,0,0,0
312,1,1,1,1,1,1
393,0,0,0,0,0,0
545,0,0,1,1,0,0
383,0,0,0,0,0,0
891,0,0,0,0,0,0
97,0,0,0,0,0,0
269,1,1,1,1,1,1
752,1,1,1,1,1,1
328,1,1,0,1,1,1
310,1,1,1,1,1,1
798,1,1,1,1,1,0
254,0,0,0,0,0,0
727,1,0,1,1,1,1
333,0,0,1,0,0,0
853,0,1,1,1,1,1
756,1,1,1,1,1,1
759,0,0,0,0,0,0
690,1,1,1,1,1,1
100,0,0,0,0,0,0
730,0,0,0,0,1,0
562,0,0,0,0,0,0
882,0,0,0,0,0,0
321,0,0,0,0,0,0
596,0,0,0,0,0,0
401,1,0,0,0,0,0
851,0,0,1,1,0,0
600,1,0,0,1,0,0
592,1,1,1,1,1,1
671,1,1,1,1,1,1
185,1,1,1,1,1,1
146,0,0,0,0,0,0
461,1,0,0,0,0,0
531,1,1,1,1,1,1
403,0,0,0,0,1,0
381,1,1,1,1,1,1
635,0,0,0,0,0,0
174,0,0,0,0,0,0
507,1,1,1,1,1,1
350,0,0,0,0,0,0
136,0,0,1,0,0,0
109,0,0,0,0,0,0
74,0,0,0,0,0,0
234,1,0,0,0,0,0
809,0,0,0,0,0,0
536,1,1,1,1,1,1
801,0,0,0,0,0,0
326,1,1,1,1,1,1
298,0,1,1,1,1,1
709,1,1,1,1,1,1
834,0,0,0,0,0,0
148,0,0,0,0,0,0
397,0,0,0,0,0,0
44,1,1,1,1,1,1
852,0,0,0,0,0,0
725,1,0,0,0,0,0
42,0,1,1,1,1,1
677,0,0,0,0,0,0
51,0,0,0,0,0,0
450,1,0,0,0,0,0
764,1,1,1,1,1,1
191,1,1,1,1,1,1
31,0,0,0,1,0,0
143,1,1,0,0,0,0
744,0,0,0,0,0,0
526,0,0,0,0,0,0
232,0,0,0,0,0,0
367,1,1,1,1,1,1
575,0,0,0,0,0,0
346,1,1,1,1,1,1
513,1,0,0,0,0,0
128,1,0,0,0,0,0
144,0,0,0,0,0,0
198,0,0,0,0,0,0
542,0,0,0,0,0,0
115,0,1,0,0,1,1
364,0,0,0,0,0,0
824,1,1,1,1,1,0
250,0,0,0,0,0,0
788,0,0,0,0,0,0
645,1,1,1,1,1,1
14,0,0,0,0,0,0
516,0,0,0,0,0,0
347,1,1,1,1,1,1
3,1,1,0,1,1,0
689,0,0,0,0,0,0
413,1,1,1,1,1,1
841,0,0,0,0,0,0
636,1,1,0,1,1,1
322,0,0,0,0,0,0
792,0,0,0,0,0,0
832,1,1,1,1,1,1
161,0,0,0,0,0,0
173,1,1,1,1,1,1
845,0,0,0,0,0,0
738,1,1,1,1,0,0
454,1,0,1,1,0,0
819,0,0,0,0,0,0
290,1,0,1,1,1,1
229,0,0,0,0,0,0
544,1,0,0,0,0,0
617,0,0,0,0,0,0
439,0,0,1,0,0,0
375,0,1,0,0,0,0
837,0,0,0,0,0,0
228,0,0,0,0,0,0
715,0,0,0,0,0,0
610,1,1,1,1,1,1
884,0,0,0,0,0,0
85,1,1,0,1,1,1
623,1,0,0,0,0,0
300,1,1,1,1,1,1
781,1,1,1,1,1,1
584,0,1,0,0,0,0
225,1,0,0,0,0,0
8,0,0,1,1,0,1
552,0,0,0,0,0,0
28,0,0,0,0,0,0
627,0,0,1,0,0,0
283,0,0,0,0,0,0
22,1,0,0,0,0,0
750,0,0,0,0,0,0
361,0,0,0,0,0,0
787,1,1,0,1,1,0
669,0,0,0,0,0,0
442,0,0,0,0,0,0
374,0,1,0,0,0,0
218,0,0,0,0,0,0
867,1,1,1,1,1,1
188,1,0,0,0,0,0
647,0,0,0,0,0,0
64,0,0,1,1,0,1
266,0,0,0,0,0,0
400,1,1,1,1,1,1
334,0,0,0,0,0,0
489,0,0,0,0,0,0
849,0,0,0,0,0,0
747,0,0,0,0,0,0
138,0,0,1,1,0,0
591,0,0,0,0,0,0
419,0,0,0,0,0,0
652,1,1,0,1,1,1
477,0,0,0,0,0,0
238,1,1,1,1,1,1
264,0,0,0,0,0,0
511,1,0,0,0,0,0
557,1,0,1,1,0,1
104,0,0,0,0,0,0
125,0,0,0,0,0,0
566,0,0,0,0,0,0
570,1,0,0,0,0,0
517,1,1,0,1,1,1
82,1,0,0,0,0,0
140,0,1,1,1,0,0
415,1,0,0,0,0,0
10,1,1,1,1,1,1
386,0,0,0,0,0,0
770,0,0,0,0,0,0
342,1,1,1,1,1,1
646,1,0,1,1,0,0
76,0,0,0,0,0,0
629,0,0,0,0,0,0
324,1,1,1,1,1,1
830,1,1,1,1,1,1
54,1,1,1,1,1,1
281,0,0,0,0,0,0
872,1,1,1,1,1,1
112,0,1,0,1,1,1
233,0,0,0,0,0,0
587,0,0,0,0,0,0
549,0,0,0,0,0,0
135,0,0,0,0,0,0
73,0,0,0,0,0,0
810,1,1,1,1,1,1
107,1,1,0,1,1,0
220,0,0,0,0,0,0
71,0,0,0,0,0,0
147,1,0,0,0,0,0
80,1,0,0,0,0,0
94,0,0,0,0,0,0
154,0,0,0,0,0,0
371,1,0,0,0,0,0
745,1,0,0,0,0,0
19,0,1,1,1,0,0
332,0,0,0,0,0,0
479,0,0,0,0,0,0
211,0,0,0,0,0,0
158,0,0,0,0,0,0
493,0,0,0,0,0,0
699,0,0,1,1,0,0
320,1,1,1,1,1,1
243,0,0,0,0,0,0
453,0,0,0,0,0,0
580,1,0,0,0,0,0
877,0,0,0,0,0,0
217,1,1,0,1,1,0
434,0,0,0,0,0,0
184,1,1,1,1,1,1
890,1,1,1,1,0,1
